County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Index)
"Madison Parish, Louisiana",22065,Rural,1.0000
"Luna County, New Mexico",35029,Rural,0.9997
"Dimmit County, Texas",48127,Rural,0.9994
"Evangeline Parish, Louisiana",22039,Rural,0.9990
"Chicot County, Arkansas",05017,Rural,0.9987
"Lenoir County, North Carolina",37107,Rural,0.9984
"DeSoto County, Florida",12027,Rural,0.9981
"Yuma County, Arizona",04027,Urban,0.9978
"Yazoo County, Mississippi",28163,Urban,0.9975
"Washington County, Mississippi",28151,Rural,0.9971
"Zapata County, Texas",48505,Rural,0.9968
"Bronx County, New York",36005,Urban,0.9965
"Robeson County, North Carolina",37155,Rural,0.9962
"Scotland County, North Carolina",37165,Rural,0.9959
"Allendale County, South Carolina",45005,Rural,0.9955
"Nacogdoches County, Texas",48347,Rural,0.9952
"Concordia Parish, Louisiana",22029,Rural,0.9949
"Hendry County, Florida",12051,Rural,0.9946
"Hudspeth County, Texas",48229,Urban,0.9943
"Bolivar County, Mississippi",28011,Rural,0.9940
"Imperial County, California",06025,Urban,0.9936
"Presidio County, Texas",48377,Rural,0.9933
"Hardee County, Florida",12049,Rural,0.9930
"Barbour County, Alabama",01005,Rural,0.9927
"Kleberg County, Texas",48273,Rural,0.9924
"Holmes County, Mississippi",28051,Urban,0.9920
"Angelina County, Texas",48005,Rural,0.9917
"Mitchell County, Georgia",13205,Rural,0.9914
"Uvalde County, Texas",48463,Rural,0.9911
"Malheur County, Oregon",41045,Rural,0.9908
"Starr County, Texas",48427,Rural,0.9905
"Maverick County, Texas",48323,Urban,0.9901
"Stephens County, Texas",48429,Rural,0.9898
"Coahoma County, Mississippi",28027,Rural,0.9895
"Buffalo County, South Dakota",46017,Rural,0.9892
"Potter County, Texas",48375,Urban,0.9889
"San Augustine County, Texas",48405,Rural,0.9885
"Randolph County, Georgia",13243,Rural,0.9882
"Warren County, North Carolina",37185,Rural,0.9879
"Dawson County, Texas",48115,Rural,0.9876
