County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"United States",00000,N/A,34.3,77751347,"N/A"
"Falls Church City, Virginia",51610,Urban,78.9,7660,"1 of 3143"
"Arlington County, Virginia",51013,Urban,76.8,132890,"2 of 3143"
"Los Alamos County, New Mexico",35028,Rural,69.7,9674,"3 of 3143"
"Alexandria City, Virginia",51510,Urban,66.0,78982,"4 of 3143"
"Fairfax County, Virginia",51059,Urban,64.1,501649,"5 of 3143"
"Howard County, Maryland",24027,Urban,64.0,144190,"6 of 3143"
"Loudoun County, Virginia",51107,Urban,63.5,173221,"7 of 3143"
"Boulder County, Colorado",08013,Urban,63.2,137729,"8 of 3143"
"Pitkin County, Colorado",08097,Rural,63.1,8519,"9 of 3143"
"New York County, New York",36061,Urban,62.8,795444,"10 of 3143"
"District of Columbia",11001,Urban,62.6,303532,"11 of 3143"
"San Miguel County, Colorado",08113,Rural,62.2,3905,"12 of 3143"
"Williamson County, Tennessee",47187,Urban,62.0,101067,"13 of 3143"
"Orange County, North Carolina",37135,Urban,61.7,57076,"14 of 3143"
"Marin County, California",06041,Urban,61.1,117100,"15 of 3143"
"Hamilton County, Indiana",18057,Urban,60.8,139974,"16 of 3143"
"Teton County, Wyoming",56039,Rural,60.3,10776,"17 of 3143"
"Lexington City, Virginia",51678,Rural,60.2,2028,"18 of 3143"
"Albemarle County, Virginia",51003,Urban,60.1,46262,"19 of 3143"
"Fairfax City, Virginia",51600,Urban,60.1,9803,"20 of 3143"
"Montgomery County, Maryland",24031,Urban,60.0,438124,"21 of 3143"
"Douglas County, Colorado",08035,Urban,60.0,145879,"22 of 3143"
"San Francisco County, California",06075,Urban,59.8,406774,"23 of 3143"
"Gunnison County, Colorado",08051,Rural,59.3,6682,"24 of 3143"
"Charlottesville City, Virginia",51540,Urban,58.9,17339,"25 of 3143"
"Middlesex County, Massachusetts",25017,Urban,58.5,669550,"26 of 3143"
"Broomfield County, Colorado",08014,Urban,58.4,30432,"27 of 3143"
"Mineral County, Colorado",08079,Rural,57.7,395,"28 of 3143"
"Tompkins County, New York",36109,Urban,57.5,35157,"29 of 3143"
"Summit County, Utah",49043,Rural,57.4,16547,"30 of 3143"
"Delaware County, Ohio",39041,Urban,57.4,82343,"31 of 3143"
"Washtenaw County, Michigan",26161,Urban,57.4,134586,"32 of 3143"
"Nantucket County, Massachusetts",25019,Rural,57.4,5704,"33 of 3143"
"Somerset County, New Jersey",34035,Urban,57.3,138929,"34 of 3143"
"Morris County, New Jersey",34027,Urban,57.1,205599,"35 of 3143"
"Fulton County, Georgia",13121,Urban,57.1,416868,"36 of 3143"
"Johnson County, Kansas",20091,Urban,56.7,235496,"37 of 3143"
"Norfolk County, Massachusetts",25021,Urban,56.3,286782,"38 of 3143"
"Forsyth County, Georgia",13117,Urban,56.2,93245,"39 of 3143"
"Chester County, Pennsylvania",42029,Urban,56.1,206208,"40 of 3143"
"Albany County, Wyoming",56001,Rural,55.9,11804,"41 of 3143"
"Chittenden County, Vermont",50007,Urban,55.7,62540,"42 of 3143"
"Wake County, North Carolina",37183,Urban,55.7,425705,"43 of 3143"
"Hunterdon County, New Jersey",34019,Urban,55.5,52003,"44 of 3143"
"Santa Clara County, California",06085,Urban,55.3,742172,"45 of 3143"
"Clear Creek County, Colorado",08019,Urban,55.0,4206,"46 of 3143"
"King County, Washington",53033,Urban,54.8,889949,"47 of 3143"
"Collin County, Texas",48085,Urban,54.3,386099,"48 of 3143"
"Denver County, Colorado",08031,Urban,54.2,281784,"49 of 3143"
"Johnson County, Iowa",19103,Urban,54.1,49068,"50 of 3143"
"Dane County, Wisconsin",55025,Urban,54.0,200229,"51 of 3143"
"Travis County, Texas",48453,Urban,53.8,484968,"52 of 3143"
"Benton County, Oregon",41003,Urban,53.8,31385,"53 of 3143"
"Oconee County, Georgia",13219,Urban,53.5,14688,"54 of 3143"
"Gallatin County, Montana",30031,Urban,52.9,40762,"55 of 3143"
"San Mateo County, California",06081,Urban,52.9,289679,"56 of 3143"
"San Juan County, Washington",53055,Rural,52.6,7795,"57 of 3143"
"Hennepin County, Minnesota",27053,Urban,52.6,465698,"58 of 3143"
"Story County, Iowa",19169,Urban,52.5,27182,"59 of 3143"
"Douglas County, Kansas",20045,Urban,52.3,36483,"60 of 3143"
"Summit County, Colorado",08117,Rural,52.3,12568,"61 of 3143"
"Newport County, Rhode Island",44005,Urban,52.1,33239,"62 of 3143"
"Durham County, North Carolina",37063,Urban,51.9,117128,"63 of 3143"
"Eagle County, Colorado",08037,Rural,51.8,20726,"64 of 3143"
"Westchester County, New York",36119,Urban,51.8,359764,"65 of 3143"
"Bergen County, New Jersey",34003,Urban,51.7,348445,"66 of 3143"
"Dallas County, Iowa",19049,Urban,51.5,33873,"67 of 3143"
"Montgomery County, Pennsylvania",42091,Urban,51.4,310252,"68 of 3143"
"Bristol County, Rhode Island",44001,Urban,51.4,18197,"69 of 3143"
"DuPage County, Illinois",17043,Urban,51.1,328286,"70 of 3143"
"Alameda County, California",06001,Urban,50.9,608135,"71 of 3143"
"Whitman County, Washington",53075,Rural,50.9,12392,"72 of 3143"
"Larimer County, Colorado",08069,Urban,50.9,121688,"73 of 3143"
"Cumberland County, Maine",23005,Urban,50.6,112545,"74 of 3143"
"Williamsburg City, Virginia",51830,Urban,50.6,3891,"75 of 3143"
"Hampshire County, Massachusetts",25015,Urban,50.4,50268,"76 of 3143"
"Routt County, Colorado",08107,Rural,50.0,9379,"77 of 3143"
"James City County, Virginia",51095,Urban,50.0,28762,"78 of 3143"
"Fairfield County, Connecticut",09001,Urban,50.0,330083,"79 of 3143"
"Monmouth County, New Jersey",34025,Urban,49.9,226608,"80 of 3143"
"Ozaukee County, Wisconsin",55089,Urban,49.8,32105,"81 of 3143"
"Carver County, Minnesota",27019,Urban,49.8,35232,"82 of 3143"
"Boone County, Missouri",29019,Urban,49.7,55191,"83 of 3143"
"Cobb County, Georgia",13067,Urban,49.7,258297,"84 of 3143"
"Ouray County, Colorado",08091,Rural,49.6,2069,"85 of 3143"
"Madison County, Mississippi",28089,Urban,49.5,36284,"86 of 3143"
"Oakland County, Michigan",26125,Urban,49.5,449241,"87 of 3143"
"Boone County, Indiana",18011,Urban,49.5,23490,"88 of 3143"
"York County, Virginia",51199,Urban,49.5,23474,"89 of 3143"
"Suffolk County, Massachusetts",25025,Urban,49.2,271368,"90 of 3143"
"Jefferson County, Colorado",08059,Urban,49.1,208651,"91 of 3143"
"Leelanau County, Michigan",26089,Urban,48.6,8542,"92 of 3143"
"Fort Bend County, Texas",48157,Urban,48.6,260622,"93 of 3143"
"Washington County, Rhode Island",44009,Urban,48.6,43972,"94 of 3143"
"Kendall County, Texas",48259,Urban,48.5,15319,"95 of 3143"
"Monongalia County, West Virginia",54061,Urban,48.3,31391,"96 of 3143"
"Nassau County, New York",36059,Urban,48.2,467753,"97 of 3143"
"Monroe County, Indiana",18105,Urban,48.2,39764,"98 of 3143"
"Charleston County, South Carolina",45019,Urban,48.1,142134,"99 of 3143"
"Clarke County, Georgia",13059,Urban,47.9,35129,"100 of 3143"
"Washington County, Minnesota",27163,Urban,47.9,87226,"101 of 3143"
"Denton County, Texas",48121,Urban,47.9,292484,"102 of 3143"
"Riley County, Kansas",20161,Urban,47.8,17157,"103 of 3143"
"Mecklenburg County, North Carolina",37119,Urban,47.8,360769,"104 of 3143"
"Multnomah County, Oregon",41051,Urban,47.7,285422,"105 of 3143"
"Brewster County, Texas",48043,Rural,47.7,3410,"106 of 3143"
"Olmsted County, Minnesota",27109,Urban,47.7,52339,"107 of 3143"
"Leon County, Florida",12073,Urban,47.5,83185,"108 of 3143"
"St. Johns County, Florida",12109,Urban,47.4,94156,"109 of 3143"
"Fayette County, Georgia",13113,Urban,47.2,38519,"110 of 3143"
"Waukesha County, Wisconsin",55133,Urban,47.2,136729,"111 of 3143"
"Teton County, Idaho",16081,Rural,47.1,3836,"112 of 3143"
"La Plata County, Colorado",08067,Rural,47.0,18968,"113 of 3143"
"Lake County, Illinois",17097,Urban,46.9,220754,"114 of 3143"
"Alachua County, Florida",12001,Urban,46.7,79056,"115 of 3143"
"Wasatch County, Utah",49051,Rural,46.7,9976,"116 of 3143"
"DeKalb County, Georgia",13089,Urban,46.7,243821,"117 of 3143"
"Hudson County, New Jersey",34017,Urban,46.6,238786,"118 of 3143"
"Fayette County, Kentucky",21067,Urban,46.5,97540,"119 of 3143"
"Montgomery County, Virginia",51121,Urban,46.5,26010,"120 of 3143"
"Chatham County, North Carolina",37037,Urban,46.5,26394,"121 of 3143"
"Cook County, Minnesota",27031,Rural,46.4,2089,"122 of 3143"
"Williamson County, Texas",48491,Urban,46.3,191872,"123 of 3143"
"Centre County, Pennsylvania",42027,Urban,46.2,44903,"124 of 3143"
"Washington County, Vermont",50023,Rural,46.2,20110,"125 of 3143"
"St. Louis County, Missouri",29189,Urban,46.1,319415,"126 of 3143"
"Barnstable County, Massachusetts",25001,Urban,46.1,83021,"127 of 3143"
"Davidson County, Tennessee",47037,Urban,46.0,227800,"128 of 3143"
"McLean County, Illinois",17113,Urban,46.0,48484,"129 of 3143"
"Washington County, Oregon",41067,Urban,45.8,191168,"130 of 3143"
"Champaign County, Illinois",17019,Urban,45.6,54915,"131 of 3143"
"Shelby County, Alabama",01117,Urban,45.6,70068,"132 of 3143"
"Henrico County, Virginia",51087,Urban,45.4,105657,"133 of 3143"
"Oldham County, Kentucky",21185,Urban,45.4,20459,"134 of 3143"
"Middlesex County, New Jersey",34023,Urban,45.1,266768,"135 of 3143"
"Madison County, Alabama",01089,Urban,45.1,120516,"136 of 3143"
"Lafayette County, Mississippi",28071,Rural,45.1,14552,"137 of 3143"
"Arapahoe County, Colorado",08005,Urban,44.9,202184,"138 of 3143"
"Radford City, Virginia",51750,Urban,44.8,3278,"139 of 3143"
"Ramsey County, Minnesota",27123,Urban,44.7,164560,"140 of 3143"
"Middlesex County, Connecticut",09007,Urban,44.7,54297,"141 of 3143"
"Warren County, Ohio",39165,Urban,44.7,73648,"142 of 3143"
"Hinsdale County, Colorado",08053,Rural,44.6,351,"143 of 3143"
"Blaine County, Idaho",16013,Rural,44.5,7768,"144 of 3143"
"Watauga County, North Carolina",37189,Rural,44.5,13889,"145 of 3143"
"Contra Costa County, California",06013,Urban,44.5,359755,"146 of 3143"
"Missoula County, Montana",30063,Urban,44.5,36061,"147 of 3143"
"Oktibbeha County, Mississippi",28105,Rural,44.4,11593,"148 of 3143"
"Goochland County, Virginia",51075,Urban,44.4,8375,"149 of 3143"
"Albany County, New York",36001,Urban,44.4,94093,"150 of 3143"
"Latah County, Idaho",16057,Rural,44.3,10301,"151 of 3143"
"Platte County, Missouri",29165,Urban,44.3,32516,"152 of 3143"
"Mercer County, New Jersey",34021,Urban,44.2,114778,"153 of 3143"
"Anne Arundel County, Maryland",24003,Urban,44.1,180512,"154 of 3143"
"Richmond City, Virginia",51760,Urban,44.1,70999,"155 of 3143"
"Dakota County, Minnesota",27037,Urban,44.1,131683,"156 of 3143"
"Gilpin County, Colorado",08047,Urban,43.9,2044,"157 of 3143"
"Rockwall County, Texas",48397,Urban,43.9,31604,"158 of 3143"
"Allegheny County, Pennsylvania",42003,Urban,43.8,395708,"159 of 3143"
"Prince William County, Virginia",51153,Urban,43.7,134907,"160 of 3143"
"Frederick County, Maryland",24021,Urban,43.6,81479,"161 of 3143"
"Rockingham County, New Hampshire",33015,Urban,43.6,101102,"162 of 3143"
"Fredericksburg City, Virginia",51630,Urban,43.5,7346,"163 of 3143"
"Jefferson County, Washington",53031,Rural,43.5,12091,"164 of 3143"
"Tolland County, Connecticut",09013,Urban,43.4,43403,"165 of 3143"
"Saratoga County, New York",36091,Urban,43.4,74144,"166 of 3143"
"New Hanover County, North Carolina",37129,Urban,43.4,68838,"167 of 3143"
"Beaufort County, South Carolina",45013,Urban,43.4,59236,"168 of 3143"
"Bucks County, Pennsylvania",42017,Urban,43.3,200969,"169 of 3143"
"Grafton County, New Hampshire",33009,Rural,43.3,28201,"170 of 3143"
"Yolo County, California",06113,Urban,43.3,55874,"171 of 3143"
"Brazos County, Texas",48041,Urban,43.2,53191,"172 of 3143"
"Dukes County, Massachusetts",25007,Rural,43.2,6788,"173 of 3143"
"Stafford County, Virginia",51179,Urban,43.1,43734,"174 of 3143"
"Buncombe County, North Carolina",37021,Urban,43.0,86104,"175 of 3143"
"Scott County, Minnesota",27139,Urban,42.9,42238,"176 of 3143"
"Utah County, Utah",49049,Urban,42.8,143630,"177 of 3143"
"Putnam County, New York",36079,Urban,42.8,30285,"178 of 3143"
"Lamoille County, Vermont",50015,Rural,42.8,7922,"179 of 3143"
"Orange County, California",06059,Urban,42.8,939818,"180 of 3143"
"Ada County, Idaho",16001,Urban,42.8,145388,"181 of 3143"
"Lewis and Clark County, Montana",30049,Urban,42.7,21640,"182 of 3143"
"Cass County, North Dakota",38017,Urban,42.6,49968,"183 of 3143"
"Grand Isle County, Vermont",50013,Urban,42.6,2389,"184 of 3143"
"Dare County, North Carolina",37055,Rural,42.5,11887,"185 of 3143"
"Santa Cruz County, California",06087,Urban,42.5,76537,"186 of 3143"
"Rockland County, New York",36087,Urban,42.5,88553,"187 of 3143"
"Placer County, California",06061,Urban,42.4,121770,"188 of 3143"
"Brookings County, South Dakota",46011,Rural,42.4,7941,"189 of 3143"
"Chesterfield County, Virginia",51041,Urban,42.3,104584,"190 of 3143"
"Santa Fe County, New Mexico",35049,Urban,42.2,49159,"191 of 3143"
"St. Charles County, Missouri",29183,Urban,42.0,117257,"192 of 3143"
"Addison County, Vermont",50001,Rural,41.8,10913,"193 of 3143"
"Hanover County, Virginia",51085,Urban,41.8,32197,"194 of 3143"
"Lincoln County, South Dakota",46083,Urban,41.8,17935,"195 of 3143"
"Essex County, Massachusetts",25009,Urban,41.7,234961,"196 of 3143"
"Seminole County, Florida",12117,Urban,41.7,139386,"197 of 3143"
"Franklin County, Ohio",39049,Urban,41.7,368534,"198 of 3143"
"San Juan County, Colorado",08111,Rural,41.7,230,"199 of 3143"
"Talbot County, Maryland",24041,Rural,41.5,11865,"200 of 3143"
"Chaffee County, Colorado",08015,Rural,41.4,6425,"201 of 3143"
"Cook County, Illinois",17031,Urban,41.3,1502714,"202 of 3143"
"Douglas County, Nebraska",31055,Urban,41.2,157085,"203 of 3143"
"Greene County, Ohio",39057,Urban,41.2,46842,"204 of 3143"
"Baltimore County, Maryland",24005,Urban,41.2,242699,"205 of 3143"
"Sarpy County, Nebraska",31153,Urban,41.2,50722,"206 of 3143"
"Burlington County, New Jersey",34005,Urban,41.1,135171,"207 of 3143"
"San Diego County, California",06073,Urban,41.0,926681,"208 of 3143"
"Delaware County, Pennsylvania",42045,Urban,40.9,160088,"209 of 3143"
"Lancaster County, Nebraska",31109,Urban,40.9,82137,"210 of 3143"
"Deschutes County, Oregon",41017,Urban,40.8,59952,"211 of 3143"
"Windsor County, Vermont",50027,Rural,40.8,17709,"212 of 3143"
"Juneau Borough, Alaska",02110,Rural,40.7,9348,"213 of 3143"
"Orleans Parish, Louisiana",22071,Urban,40.7,110142,"214 of 3143"
"Woodford County, Kentucky",21239,Urban,40.7,7591,"215 of 3143"
"Ingham County, Michigan",26065,Urban,40.6,70763,"216 of 3143"
"Plymouth County, Massachusetts",25023,Urban,40.5,151032,"217 of 3143"
"Comal County, Texas",48091,Urban,40.5,46877,"218 of 3143"
"Monroe County, New York",36055,Urban,40.5,212814,"219 of 3143"
"Kalamazoo County, Michigan",26077,Urban,40.5,66754,"220 of 3143"
