
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

Had Colonoscopy in Past 10 Years
"All Races (includes Hispanic), Both Sexes, Ages 50-75"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ozaukee County, Wisconsin",55089,89.7 ,87.0, 92.1
"Hockley County, Texas",48219,85.1 ,77.5, 92.1
"Kingsbury County, South Dakota",46077,84.9 ,75.9, 92.7
"Stanley County, South Dakota",46117,84.9 ,76.4, 92.4
"Atascosa County, Texas",48013,83.5 ,75.4, 91.1
"Golden Valley County, Montana",30037,82.4 ,73.0, 90.9
"Dade County, Georgia",13083,82.3 ,73.6, 90.2
"Day County, South Dakota",46037,81.8 ,71.7, 90.8
"Hampshire County, Massachusetts",25015,81.0 ,74.3, 87.2
"Woodford County, Illinois",17203,80.8 ,70.5, 89.9
"Washington County, Wisconsin",55131,80.6 ,72.0, 88.3
"Franklin County, Vermont",50011,80.5 ,79.7, 81.3
"Adams County, Wisconsin",55001,80.2 ,70.2, 89.2
"Clear Creek County, Colorado",08019,78.8 ,67.0, 89.2
"Mitchell County, Georgia",13205,77.8 ,67.6, 87.1
"Scott County, Kentucky",21209,77.7 ,66.9, 87.5
"Clark County, Kentucky",21049,77.6 ,66.7, 87.5
"Lapeer County, Michigan",26087,77.2 ,68.0, 85.6
"Douglas County, Wisconsin",55031,76.8 ,65.6, 87.0
"Bristol County, Rhode Island",44001,76.2 ,66.9, 84.9
"Sumter County, Florida",12119,76.2 ,66.4, 85.7
"Woodford County, Kentucky",21239,76.2 ,63.0, 88.0
"Ballard County, Kentucky",21007,76.1 ,64.9, 86.3
"Hopewell City, Virginia",51670,76.1 ,65.4, 86.0
"Union County, North Carolina",37179,75.9 ,64.8, 85.9
"Chatham County, North Carolina",37037,75.7 ,64.8, 85.6
"Henry County, Illinois",17073,75.4 ,63.3, 86.3
"Orange County, North Carolina",37135,75.4 ,64.3, 85.5
"Powell County, Kentucky",21197,75.4 ,64.1, 85.8
"Saratoga County, New York",36091,75.0 ,66.2, 83.7
"Somerset County, Pennsylvania",42111,75.0 ,63.4, 85.6
"Monroe County, Illinois",17133,74.9 ,63.6, 85.1
"Burnet County, Texas",48053,74.8 ,62.9, 85.7
"Martin County, Minnesota",27091,74.8 ,64.5, 84.4
"Medina County, Ohio",39103,74.8 ,65.3, 83.6
"Ontario County, New York",36069,74.7 ,69.8, 79.3
"Oldham County, Kentucky",21185,74.6 ,62.4, 85.6
"Kent County, Michigan",26081,74.5 ,66.5, 82.3
"Midland County, Michigan",26111,74.5 ,66.4, 82.2
"Mitchell County, Kansas",20123,74.5 ,62.0, 85.8
"Story County, Iowa",19169,74.5 ,64.3, 84.2
"Cumberland County, Pennsylvania",42041,74.3 ,64.0, 83.9
"Isle of Wight County, Virginia",51093,74.3 ,65.1, 82.9
"Jessamine County, Kentucky",21113,74.3 ,60.6, 86.5
"Lewis County, Idaho",16061,74.3 ,62.1, 85.4
"Sussex County, New Jersey",34037,74.3 ,68.6, 79.8
"Hickman County, Kentucky",21105,74.2 ,62.4, 85.0
"Madison County, New York",36053,74.1 ,64.4, 83.6
"Rankin County, Mississippi",28121,74.1 ,63.6, 83.9
"Scott County, Minnesota",27139,74.1 ,65.2, 82.7
"Bayfield County, Wisconsin",55007,74.0 ,62.4, 84.7
"Dutchess County, New York",36027,74.0 ,65.0, 82.5
"Pike County, Alabama",01109,74.0 ,62.3, 84.6
"Clay County, Minnesota",27027,73.8 ,63.5, 83.8
"Grand Traverse County, Michigan",26055,73.7 ,63.1, 83.8
"Green Lake County, Wisconsin",55047,73.7 ,61.9, 84.5
"Henry County, Tennessee",47079,73.7 ,62.8, 83.5
"Yuba County, California",06115,73.7 ,62.1, 84.6
"Eaton County, Michigan",26045,73.6 ,63.0, 83.5
"Wright County, Minnesota",27171,73.6 ,63.4, 83.4
"Hale County, Texas",48189,73.5 ,62.2, 84.1
"Monroe County, Michigan",26115,73.4 ,62.3, 83.8
"Hamilton County, Indiana",18057,73.3 ,67.0, 79.4
"Wallace County, Kansas",20199,73.3 ,60.4, 85.0
"Wood County, Ohio",39173,73.3 ,67.3, 79.0
"Botetourt County, Virginia",51023,73.2 ,61.1, 84.3
"Jefferson County, Missouri",29099,73.2 ,64.1, 81.8
"Mercer County, Illinois",17131,73.2 ,59.2, 85.8
"Norfolk County, Massachusetts",25021,73.2 ,65.4, 80.7
"Poquoson City, Virginia",51735,73.2 ,59.5, 85.4
"Butler County, Pennsylvania",42019,73.1 ,66.0, 79.7
"Erie County, Pennsylvania",42049,73.1 ,62.6, 83.2
"Stephens County, Texas",48429,73.0 ,61.5, 84.0
"Crittenden County, Kentucky",21055,72.9 ,59.2, 85.4
"Hopkins County, Kentucky",21107,72.9 ,62.2, 83.1
"Marquette County, Michigan",26103,72.9 ,61.3, 83.9
"Carver County, Minnesota",27019,72.8 ,62.3, 82.9
"Cass County, Missouri",29037,72.8 ,68.1, 77.4
"Lyon County, Kentucky",21143,72.8 ,60.2, 84.5
"Douglas County, Colorado",08035,72.7 ,63.7, 81.4
"Olmsted County, Minnesota",27109,72.7 ,63.8, 81.2
"Roanoke County, Virginia",51161,72.7 ,62.2, 82.8
"Wise County, Texas",48497,72.7 ,60.3, 83.7
"Bibb County, Georgia",13021,72.6 ,62.7, 82.0
"Faulkner County, Arkansas",05045,72.6 ,62.5, 82.2
"Pend Oreille County, Washington",53051,72.6 ,61.5, 83.1
"York County, Maine",23031,72.6 ,63.3, 81.8
"Hennepin County, Minnesota",27053,72.5 ,65.9, 79.0
"Alachua County, Florida",12001,72.4 ,61.7, 82.6
"Clinton County, Michigan",26037,72.4 ,60.9, 83.2
"Isanti County, Minnesota",27059,72.4 ,61.9, 82.4
"Jefferson County, Kansas",20087,72.4 ,61.2, 83.2
"Moffat County, Colorado",08081,72.4 ,59.9, 84.0
"Oceana County, Michigan",26127,72.4 ,60.8, 83.3
"Richland County, South Carolina",45079,72.4 ,64.4, 80.1
"Towner County, North Dakota",38095,72.4 ,59.7, 83.9
"Hampden County, Massachusetts",25013,72.3 ,67.1, 77.3
"Monongalia County, West Virginia",54061,72.3 ,61.9, 82.5
"Piatt County, Illinois",17147,72.3 ,58.2, 84.7
"Prince William County, Virginia",51153,72.3 ,63.8, 80.4
"Atlantic County, New Jersey",34001,72.2 ,64.8, 79.4
"Cole County, Missouri",29051,72.2 ,59.5, 83.8
"Garfield County, Montana",30033,72.2 ,57.6, 85.5
"Iredell County, North Carolina",37097,72.2 ,61.8, 82.0
"Jackson County, Oklahoma",40065,72.2 ,60.1, 83.4
"St. Croix County, Wisconsin",55109,72.2 ,61.8, 81.8
"Brevard County, Florida",12009,72.1 ,65.5, 78.4
"Saunders County, Nebraska",31155,72.0 ,61.2, 82.4
"Tipton County, Tennessee",47167,72.0 ,59.9, 83.2
"Warren County, New Jersey",34041,72.0 ,61.0, 82.3
"Fayette County, Pennsylvania",42051,71.9 ,61.0, 82.0
"Benton County, Indiana",18007,71.8 ,58.6, 83.6
"Clay County, Iowa",19041,71.8 ,59.9, 82.9
"Montmorency County, Michigan",26119,71.8 ,57.9, 84.4
"Posey County, Indiana",18129,71.7 ,57.4, 84.6
"Andrew County, Missouri",29003,71.5 ,58.5, 83.3
"Christian County, Missouri",29043,71.5 ,59.8, 82.5
"Nassau County, New York",36059,71.5 ,64.3, 78.5
