County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"United States",00000,N/A,75149.000000000,"N/A"
"Loudoun County, Virginia",51107,Urban,170463.000000000,"1 of 3142"
"Falls Church City, Virginia",51610,Urban,164536.000000000,"2 of 3142"
"Santa Clara County, California",06085,Urban,153792.000000000,"3 of 3142"
"San Mateo County, California",06081,Urban,149907.000000000,"4 of 3142"
"Fairfax County, Virginia",51059,Urban,145165.000000000,"5 of 3142"
"Marin County, California",06041,Urban,142019.000000000,"6 of 3142"
"Howard County, Maryland",24027,Urban,140971.000000000,"7 of 3142"
"Douglas County, Colorado",08035,Urban,139010.000000000,"8 of 3142"
"Nassau County, New York",36059,Urban,137709.000000000,"9 of 3142"
"Arlington County, Virginia",51013,Urban,137387.000000000,"10 of 3142"
"San Francisco County, California",06075,Urban,136689.000000000,"11 of 3142"
"Los Alamos County, New Mexico",35028,Rural,135801.000000000,"12 of 3142"
"Nantucket County, Massachusetts",25019,Rural,135590.000000000,"13 of 3142"
"Hunterdon County, New Jersey",34019,Urban,133534.000000000,"14 of 3142"
"Somerset County, New Jersey",34035,Urban,131948.000000000,"15 of 3142"
"Forsyth County, Georgia",13117,Urban,131660.000000000,"16 of 3142"
"Morris County, New Jersey",34027,Urban,130808.000000000,"17 of 3142"
"Fairfax City, Virginia",51600,Urban,128708.000000000,"18 of 3142"
"Calvert County, Maryland",24009,Urban,128078.000000000,"19 of 3142"
"Stafford County, Virginia",51179,Urban,128036.000000000,"20 of 3142"
"Summit County, Utah",49043,Rural,126392.000000000,"21 of 3142"
"Williamson County, Tennessee",47187,Urban,125943.000000000,"22 of 3142"
"Montgomery County, Maryland",24031,Urban,125583.000000000,"23 of 3142"
"Elbert County, Colorado",08039,Urban,124360.000000000,"24 of 3142"
"Delaware County, Ohio",39041,Urban,123995.000000000,"25 of 3142"
"Prince William County, Virginia",51153,Urban,123193.000000000,"26 of 3142"
"Fauquier County, Virginia",51061,Urban,122785.000000000,"27 of 3142"
"Suffolk County, New York",36103,Urban,122498.000000000,"28 of 3142"
"Alameda County, California",06001,Urban,122488.000000000,"29 of 3142"
"Middlesex County, Massachusetts",25017,Urban,121304.000000000,"30 of 3142"
"Rockwall County, Texas",48397,Urban,121303.000000000,"31 of 3142"
"Putnam County, New York",36079,Urban,120970.000000000,"32 of 3142"
"Morgan County, Utah",49029,Urban,120854.000000000,"33 of 3142"
"Norfolk County, Massachusetts",25021,Urban,120621.000000000,"34 of 3142"
"Contra Costa County, California",06013,Urban,120020.000000000,"35 of 3142"
"Bergen County, New Jersey",34003,Urban,118714.000000000,"36 of 3142"
"Chester County, Pennsylvania",42029,Urban,118574.000000000,"37 of 3142"
"Monmouth County, New Jersey",34025,Urban,118527.000000000,"38 of 3142"
"Scott County, Minnesota",27139,Urban,118268.000000000,"39 of 3142"
"Broomfield County, Colorado",08014,Urban,117541.000000000,"40 of 3142"
"Oldham County, Kentucky",21185,Urban,117334.000000000,"41 of 3142"
"Charles County, Maryland",24017,Urban,116882.000000000,"42 of 3142"
"King County, Washington",53033,Urban,116340.000000000,"43 of 3142"
"Carver County, Minnesota",27019,Urban,116308.000000000,"44 of 3142"
"Oconee County, Georgia",13219,Urban,116221.000000000,"45 of 3142"
"Anne Arundel County, Maryland",24003,Urban,116009.000000000,"46 of 3142"
"Frederick County, Maryland",24021,Urban,115724.000000000,"47 of 3142"
"Hamilton County, Indiana",18057,Urban,114866.000000000,"48 of 3142"
"Westchester County, New York",36119,Urban,114651.000000000,"49 of 3142"
"Poquoson City, Virginia",51735,Urban,114503.000000000,"50 of 3142"
"St. Marys County, Maryland",24037,Urban,113668.000000000,"51 of 3142"
"Collin County, Texas",48085,Urban,113255.000000000,"52 of 3142"
"Alexandria City, Virginia",51510,Urban,113179.000000000,"53 of 3142"
"New Kent County, Virginia",51127,Urban,113120.000000000,"54 of 3142"
"Glasscock County, Texas",48173,Rural,112188.000000000,"55 of 3142"
"Carroll County, Maryland",24013,Urban,111672.000000000,"56 of 3142"
"Sussex County, New Jersey",34037,Urban,111094.000000000,"57 of 3142"
"Washington County, Minnesota",27163,Urban,110828.000000000,"58 of 3142"
"Manassas City, Virginia",51683,Urban,110559.000000000,"59 of 3142"
"Rockingham County, New Hampshire",33015,Urban,110225.000000000,"60 of 3142"
"Fort Bend County, Texas",48157,Urban,109987.000000000,"61 of 3142"
"Fairfield County, Connecticut",09001,Urban,109390.000000000,"62 of 3142"
"Placer County, California",06061,Urban,109375.000000000,"63 of 3142"
"Orange County, California",06059,Urban,109361.000000000,"64 of 3142"
"Queen Annes County, Maryland",24035,Urban,108332.000000000,"65 of 3142"
"Teton County, Wyoming",56039,Rural,108279.000000000,"66 of 3142"
"Powhatan County, Virginia",51145,Urban,108089.000000000,"67 of 3142"
"Bucks County, Pennsylvania",42017,Urban,107826.000000000,"68 of 3142"
"Clarke County, Virginia",51043,Urban,107475.000000000,"69 of 3142"
"Montgomery County, Pennsylvania",42091,Urban,107441.000000000,"70 of 3142"
"DuPage County, Illinois",17043,Urban,107035.000000000,"71 of 3142"
"Harford County, Maryland",24025,Urban,106417.000000000,"72 of 3142"
"Kendall County, Illinois",17093,Urban,106358.000000000,"73 of 3142"
"Rockland County, New York",36087,Urban,106173.000000000,"74 of 3142"
"Chambers County, Texas",48071,Urban,106103.000000000,"75 of 3142"
"Fayette County, Georgia",13113,Urban,105910.000000000,"76 of 3142"
"Bristol County, Rhode Island",44001,Urban,105875.000000000,"77 of 3142"
"Napa County, California",06055,Urban,105809.000000000,"78 of 3142"
"Goochland County, Virginia",51075,Urban,105600.000000000,"79 of 3142"
"Plymouth County, Massachusetts",25023,Urban,105387.000000000,"80 of 3142"
"Middlesex County, New Jersey",34023,Urban,105206.000000000,"81 of 3142"
"York County, Virginia",51199,Urban,105154.000000000,"82 of 3142"
"Spotsylvania County, Virginia",51177,Urban,105068.000000000,"83 of 3142"
"Wasatch County, Utah",49051,Rural,104855.000000000,"84 of 3142"
"Hanover County, Virginia",51085,Urban,104678.000000000,"85 of 3142"
"Lake County, Illinois",17097,Urban,104553.000000000,"86 of 3142"
"Union County, Ohio",39159,Urban,104496.000000000,"87 of 3142"
"San Benito County, California",06069,Urban,104451.000000000,"88 of 3142"
"Santa Cruz County, California",06087,Urban,104409.000000000,"89 of 3142"
"Kendall County, Texas",48259,Urban,104196.000000000,"90 of 3142"
"Denton County, Texas",48121,Urban,104180.000000000,"91 of 3142"
"Snohomish County, Washington",53061,Urban,104083.000000000,"92 of 3142"
"Will County, Illinois",17197,Urban,103678.000000000,"93 of 3142"
"Johnson County, Kansas",20091,Urban,103644.000000000,"94 of 3142"
"King George County, Virginia",51099,Rural,103264.000000000,"95 of 3142"
"Jefferson County, Colorado",08059,Urban,103167.000000000,"96 of 3142"
"Warren County, Ohio",39165,Urban,103128.000000000,"97 of 3142"
"Boone County, Indiana",18011,Urban,103038.000000000,"98 of 3142"
"Wright County, Minnesota",27171,Urban,102980.000000000,"99 of 3142"
"Williamson County, Texas",48491,Urban,102851.000000000,"100 of 3142"
"Burlington County, New Jersey",34005,Urban,102615.000000000,"101 of 3142"
"Ventura County, California",06111,Urban,102141.000000000,"102 of 3142"
"District of Columbia",11001,Urban,101722.000000000,"103 of 3142"
"Waukesha County, Wisconsin",55133,Urban,101639.000000000,"104 of 3142"
"Dakota County, Minnesota",27037,Urban,101360.000000000,"105 of 3142"
"Davis County, Utah",49011,Urban,101285.000000000,"106 of 3142"
"Alpine County, California",06003,Rural,101125.000000000,"107 of 3142"
"Spencer County, Kentucky",21215,Urban,101118.000000000,"108 of 3142"
"Cherokee County, Georgia",13057,Urban,100824.000000000,"109 of 3142"
