
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

"Pap Test in Past 3 Years, No Hysterectomy"
"All Races (includes Hispanic), Female, Ages 21-65"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Hale County, Texas",48189,92.5 ,85.3, 98.1
"Upshur County, Texas",48459,92.1 ,84.8, 97.9
"McCook County, South Dakota",46087,91.0 ,82.9, 97.5
"Morgan County, Georgia",13211,90.6 ,86.9, 93.9
"Phillips County, Montana",30071,90.3 ,81.1, 97.4
"Larue County, Kentucky",21123,90.1 ,80.7, 97.5
"Orange County, Indiana",18117,89.9 ,81.5, 96.7
"Williamson County, Tennessee",47187,89.6 ,80.8, 96.9
"Calaveras County, California",06009,89.1 ,80.1, 96.4
"Scott County, Minnesota",27139,89.1 ,83.3, 94.0
"Passaic County, New Jersey",34031,88.9 ,79.9, 96.2
"Brunswick County, Virginia",51025,88.1 ,78.9, 95.8
"Cass County, Missouri",29037,87.3 ,81.8, 92.1
"Portsmouth City, Virginia",51740,87.3 ,79.3, 94.2
"Grayson County, Texas",48181,87.2 ,76.8, 95.6
"Martin County, Kentucky",21159,87.2 ,77.5, 95.2
"Griggs County, North Dakota",38039,87.1 ,76.2, 95.8
"North Slope Borough, Alaska",02185,86.7 ,76.5, 95.3
"Cabarrus County, North Carolina",37025,86.5 ,78.6, 93.2
"Orange County, North Carolina",37135,86.5 ,76.2, 95.2
"Walsh County, North Dakota",38099,86.5 ,76.9, 94.7
"Fort Bend County, Texas",48157,86.4 ,78.8, 93.2
"Midland County, Texas",48329,86.1 ,76.9, 94.0
"Pickens County, Alabama",01107,85.7 ,73.9, 95.2
"Lapeer County, Michigan",26087,85.6 ,81.6, 89.4
"Morgan County, Indiana",18109,85.6 ,80.0, 90.6
"Goochland County, Virginia",51075,85.5 ,72.3, 95.8
"Jackson County, Georgia",13157,85.5 ,76.8, 92.9
"Nicholas County, West Virginia",54067,85.5 ,75.6, 94.1
"Grayson County, Virginia",51077,85.4 ,74.4, 94.5
"Nash County, North Carolina",37127,85.4 ,72.1, 95.7
"Stephens County, Texas",48429,85.4 ,74.5, 94.6
"St. Clair County, Illinois",17163,85.3 ,76.4, 92.9
"Sussex County, Virginia",51183,85.3 ,74.8, 94.3
"Boyle County, Kentucky",21021,85.2 ,74.4, 94.4
"Vermilion Parish, Louisiana",22113,85.2 ,74.8, 94.1
"Boone County, Indiana",18011,85.1 ,73.6, 94.6
"Marion County, Texas",48315,85.1 ,74.3, 94.3
"St. John the Baptist Parish, Louisiana",22095,85.1 ,74.3, 94.2
"Galveston County, Texas",48167,85.0 ,81.1, 88.6
"Polk County, Florida",12105,85.0 ,77.5, 91.7
"Grundy County, Illinois",17063,84.9 ,70.5, 96.0
"Hale County, Alabama",01065,84.9 ,71.6, 95.4
"Whiteside County, Illinois",17195,84.9 ,71.7, 95.3
"Mercer County, New Jersey",34021,84.8 ,80.8, 88.5
"Fauquier County, Virginia",51061,84.7 ,72.8, 94.6
"Houghton County, Michigan",26061,84.7 ,71.5, 95.2
"Stillwater County, Montana",30095,84.7 ,73.9, 93.9
"White County, Tennessee",47185,84.7 ,71.4, 95.3
"Tipton County, Tennessee",47167,84.5 ,72.1, 94.7
"Calhoun County, South Carolina",45017,84.4 ,70.4, 95.2
"Middlesex County, Connecticut",09007,84.4 ,75.2, 92.5
"Grant County, South Dakota",46051,84.3 ,72.9, 94.1
"Putnam County, New York",36079,84.3 ,74.6, 93.0
"Ballard County, Kentucky",21007,84.2 ,73.0, 93.9
"Benton County, Iowa",19011,84.2 ,72.3, 94.1
"Scotland County, North Carolina",37165,84.2 ,70.5, 94.9
"Juneau Borough, Alaska",02110,84.1 ,83.1, 85.0
"Leelanau County, Michigan",26089,84.1 ,72.4, 94.0
"Orleans Parish, Louisiana",22071,84.1 ,75.1, 92.1
"Kingsbury County, South Dakota",46077,84.0 ,71.4, 94.5
"McLean County, Illinois",17113,84.0 ,72.7, 93.7
"Henderson County, North Carolina",37089,83.9 ,70.8, 94.5
"Pike County, Indiana",18125,83.9 ,72.1, 93.8
"Prince Georges County, Maryland",24033,83.9 ,77.2, 90.1
"Bollinger County, Missouri",29017,83.8 ,69.3, 95.2
"San Francisco County, California",06075,83.8 ,76.3, 90.5
"Warren County, New Jersey",34041,83.8 ,72.9, 93.2
"Yolo County, California",06113,83.8 ,80.3, 87.0
"Northampton County, North Carolina",37131,83.7 ,72.2, 93.6
"Yadkin County, North Carolina",37197,83.7 ,68.6, 95.3
"Burnet County, Texas",48053,83.6 ,71.8, 93.6
"Butte County, Idaho",16023,83.6 ,68.8, 95.2
"Danville City, Virginia",51590,83.5 ,70.8, 93.9
"Hanover County, Virginia",51085,83.5 ,74.6, 91.4
"Macon County, Alabama",01087,83.5 ,69.5, 94.6
"Macon County, Illinois",17115,83.5 ,69.1, 95.0
"Coweta County, Georgia",13077,83.4 ,72.2, 93.1
"Saratoga County, New York",36091,83.4 ,74.0, 92.0
"St. Charles Parish, Louisiana",22089,83.4 ,72.1, 93.2
"Shelby County, Tennessee",47157,83.3 ,78.0, 88.2
"Rowan County, North Carolina",37159,83.1 ,71.6, 93.0
"Bureau County, Illinois",17011,83.0 ,68.7, 94.5
"Washington County, Kansas",20201,83.0 ,71.0, 93.5
"Green County, Wisconsin",55045,82.9 ,67.8, 94.8
"Hancock County, Kentucky",21091,82.9 ,67.7, 94.7
"Lincoln County, Missouri",29113,82.9 ,72.2, 91.9
"Monroe County, Alabama",01099,82.9 ,71.7, 92.8
"Madison County, Texas",48313,82.8 ,70.6, 93.2
"Roseau County, Minnesota",27135,82.8 ,70.8, 93.0
"Dale County, Alabama",01045,82.7 ,72.9, 91.2
"Drew County, Arkansas",05043,82.7 ,68.3, 94.2
"Schenectady County, New York",36093,82.7 ,74.3, 90.2
"Calloway County, Kentucky",21035,82.6 ,71.5, 92.3
"Pickens County, South Carolina",45077,82.6 ,73.4, 90.5
"Powhatan County, Virginia",51145,82.6 ,67.4, 94.6
"Coahoma County, Mississippi",28027,82.5 ,71.3, 92.2
"Middlesex County, Virginia",51119,82.5 ,70.3, 93.0
"Oneida County, Idaho",16071,82.5 ,70.4, 92.9
"Decatur County, Georgia",13087,82.4 ,70.8, 92.5
"Isanti County, Minnesota",27059,82.4 ,73.9, 89.9
"Lake County, Minnesota",27075,82.3 ,70.1, 92.6
"Martin County, North Carolina",37117,82.3 ,67.5, 94.1
"Clinton County, Michigan",26037,82.2 ,69.6, 92.8
"Jessamine County, Kentucky",21113,82.2 ,69.2, 93.0
"Perry County, Mississippi",28111,82.2 ,69.2, 93.1
"Pickaway County, Ohio",39129,82.2 ,70.4, 92.4
"Shelby County, Alabama",01117,82.2 ,72.6, 90.8
"Alpena County, Michigan",26007,82.1 ,71.2, 91.3
"Benton County, Missouri",29015,82.1 ,67.0, 94.1
"Henry County, Alabama",01067,82.1 ,66.7, 94.4
"Juniata County, Pennsylvania",42067,82.1 ,69.4, 93.0
"Loudon County, Tennessee",47105,82.1 ,71.4, 91.4
"Sublette County, Wyoming",56035,82.1 ,69.8, 92.7
"Vernon County, Missouri",29217,82.1 ,69.2, 92.9
"Floyd County, Indiana",18043,82.0 ,69.8, 92.5
"Chippewa County, Wisconsin",55017,81.9 ,69.1, 92.5
"Clear Creek County, Colorado",08019,81.9 ,65.8, 94.7
"Harrisonburg City, Virginia",51660,81.9 ,66.0, 94.3
"Niagara County, New York",36063,81.9 ,71.3, 91.6
"Pike County, Pennsylvania",42103,81.9 ,68.8, 93.1
"Cottonwood County, Minnesota",27033,81.8 ,66.5, 94.0
"Dearborn County, Indiana",18029,81.8 ,68.4, 93.2
"Jackson County, Missouri",29095,81.8 ,72.9, 89.9
"Hampton City, Virginia",51650,81.7 ,70.7, 91.4
"Le Sueur County, Minnesota",27079,81.7 ,69.9, 91.9
"Perkins County, South Dakota",46105,81.7 ,68.7, 92.8
"Unicoi County, Tennessee",47171,81.7 ,68.1, 93.0
"Adams County, Illinois",17001,81.6 ,72.4, 89.6
"DeKalb County, Georgia",13089,81.6 ,74.8, 87.8
"Florence County, South Carolina",45041,81.5 ,72.0, 90.2
"Lynn County, Texas",48305,81.5 ,65.2, 94.4
"Marshall County, Illinois",17123,81.5 ,65.3, 94.4
"Prince George County, Virginia",51149,81.5 ,69.3, 92.1
"Vigo County, Indiana",18167,81.5 ,70.9, 90.6
"Calhoun County, Texas",48057,81.4 ,68.2, 92.5
"Miller County, Missouri",29131,81.4 ,65.9, 93.9
"Whitley County, Kentucky",21235,81.4 ,70.2, 91.3
"Winston County, Alabama",01133,81.4 ,66.0, 93.6
"Jefferson County, Kansas",20087,81.3 ,69.1, 91.9
"King and Queen County, Virginia",51097,81.3 ,68.7, 92.4
"Lanier County, Georgia",13173,81.3 ,68.5, 92.3
"Switzerland County, Indiana",18155,81.3 ,68.1, 92.4
"Tulare County, California",06107,81.3 ,71.7, 89.8
"Cooper County, Missouri",29053,81.2 ,68.3, 92.3
"Gates County, North Carolina",37073,81.2 ,65.2, 93.9
"Gloucester County, Virginia",51073,81.2 ,69.4, 91.6
"Lampasas County, Texas",48281,81.2 ,66.7, 93.2
"Leflore County, Mississippi",28083,81.2 ,69.8, 91.4
"Oliver County, North Dakota",38065,81.2 ,64.6, 94.3
"Rockwall County, Texas",48397,81.2 ,64.8, 94.2
"Claiborne Parish, Louisiana",22027,81.1 ,65.7, 93.5
"Elbert County, Georgia",13105,81.1 ,70.7, 90.3
"Franklin County, Iowa",19069,81.1 ,67.5, 92.4
"Grant County, West Virginia",54023,81.1 ,65.7, 93.6
"Hinds County, Mississippi",28049,81.1 ,70.4, 90.6
"Ottawa County, Oklahoma",40115,81.1 ,68.8, 91.8
"Pointe Coupee Parish, Louisiana",22077,81.1 ,64.8, 93.9
"Scott County, Indiana",18143,81.1 ,67.5, 92.5
"Sullivan County, Indiana",18153,81.1 ,67.8, 92.5
"Todd County, South Dakota",46121,81.1 ,70.2, 91.1
"Washington County, New York",36115,81.1 ,70.7, 90.5
"Washington County, Wisconsin",55131,81.1 ,68.8, 91.8
"Wood County, Ohio",39173,81.1 ,68.8, 91.7
"Crawford County, Georgia",13079,81.0 ,67.6, 92.5
"Erie County, Ohio",39043,81.0 ,69.7, 91.1
"New Kent County, Virginia",51127,81.0 ,64.9, 93.8
"Rooks County, Kansas",20163,81.0 ,65.5, 93.6
"Clay County, West Virginia",54015,80.9 ,64.4, 94.1
"Grant County, North Dakota",38037,80.9 ,67.4, 92.3
"Harnett County, North Carolina",37085,80.9 ,69.1, 91.4
"Telfair County, Georgia",13271,80.9 ,65.5, 93.4
"Anson County, North Carolina",37007,80.8 ,67.8, 92.0
"Cheatham County, Tennessee",47021,80.8 ,64.2, 93.9
"Delaware County, Ohio",39041,80.8 ,70.9, 89.6
"Grimes County, Texas",48185,80.8 ,68.1, 91.9
"York County, Virginia",51199,80.8 ,69.5, 90.9
"Arapahoe County, Colorado",08005,80.7 ,73.6, 87.3
"Bennett County, South Dakota",46007,80.7 ,68.6, 91.3
"Clinton County, Illinois",17027,80.7 ,64.5, 93.6
"Cumberland County, North Carolina",37051,80.7 ,69.8, 90.6
"Jackson County, Alabama",01071,80.7 ,68.5, 91.4
"Kendall County, Texas",48259,80.7 ,69.1, 90.9
"Choctaw County, Mississippi",28019,80.6 ,67.5, 91.9
"Fairfax City, Virginia",51600,80.6 ,68.6, 91.2
"Ottawa County, Michigan",26139,80.6 ,71.4, 88.5
"Clay County, Alabama",01027,80.5 ,66.9, 91.8
"Estill County, Kentucky",21065,80.5 ,65.9, 92.8
"Forrest County, Mississippi",28035,80.5 ,69.1, 90.4
"Hamlin County, South Dakota",46057,80.5 ,67.8, 91.6
"Newton County, Texas",48351,80.5 ,66.5, 92.3
"Santa Barbara County, California",06083,80.5 ,68.1, 91.1
"Wyandotte County, Kansas",20209,80.5 ,73.6, 86.8
"Blaine County, Nebraska",31009,80.4 ,65.9, 92.5
"East Feliciana Parish, Louisiana",22037,80.4 ,65.3, 92.9
"Johnson County, Missouri",29101,80.4 ,68.1, 91.4
"Onslow County, North Carolina",37133,80.4 ,71.4, 88.6
"Putnam County, Tennessee",47141,80.4 ,68.8, 90.8
"Rockingham County, North Carolina",37157,80.4 ,66.1, 92.5
"Warren County, Missouri",29219,80.4 ,66.0, 92.4
"Washburn County, Wisconsin",55129,80.4 ,64.3, 93.3
"Custer County, Idaho",16037,80.3 ,67.1, 91.6
"Hamilton County, Indiana",18057,80.3 ,72.2, 87.6
"Howard County, Maryland",24027,80.3 ,73.8, 86.4
"Monroe County, Georgia",13207,80.3 ,65.5, 92.6
"Suffolk County, New York",36103,80.3 ,72.1, 87.7
"Audrain County, Missouri",29007,80.2 ,64.2, 93.3
"Braxton County, West Virginia",54007,80.2 ,66.4, 91.9
"Bristol Bay Borough, Alaska",02060,80.2 ,66.6, 91.9
"Clark County, Kansas",20025,80.2 ,64.0, 93.3
"Hendricks County, Indiana",18063,80.2 ,70.5, 89.1
"Navarro County, Texas",48349,80.2 ,66.8, 91.7
"Onondaga County, New York",36067,80.2 ,71.8, 87.7
"Prince of Wales-Hyder Census Area, Alaska",02198,80.2 ,64.1, 93.3
"Steuben County, Indiana",18151,80.2 ,66.4, 91.9
"Vance County, North Carolina",37181,80.2 ,66.7, 91.7
"Anderson County, Kansas",20003,80.1 ,63.9, 93.1
"Bronx County, New York",36005,80.1 ,72.1, 87.5
"Clare County, Michigan",26035,80.1 ,66.6, 91.9
"Lancaster County, Virginia",51103,80.1 ,63.9, 93.2
"Madison County, Illinois",17119,80.1 ,67.6, 91.0
"Richland Parish, Louisiana",22083,80.1 ,66.6, 91.7
"Ziebach County, South Dakota",46137,80.1 ,67.7, 91.0
"Corson County, South Dakota",46031,80.0 ,67.8, 90.9
"Echols County, Georgia",13101,80.0 ,63.3, 93.6
"Jackson County, Arkansas",05067,80.0 ,63.7, 93.1
"Knox County, Ohio",39083,80.0 ,68.5, 90.3
"Lafayette County, Mississippi",28071,80.0 ,67.5, 91.0
"Limestone County, Texas",48293,80.0 ,66.1, 91.9
"Medina County, Texas",48325,80.0 ,65.5, 92.3
"Mifflin County, Pennsylvania",42087,80.0 ,63.8, 93.2
"Montour County, Pennsylvania",42093,80.0 ,63.4, 93.5
"St. Louis City, Missouri",29510,80.0 ,70.6, 88.4
"Tolland County, Connecticut",09013,80.0 ,69.2, 90.1
"Blount County, Tennessee",47009,79.9 ,66.3, 91.6
"Carteret County, North Carolina",37031,79.9 ,69.6, 88.9
"Hamilton County, New York",36041,79.9 ,68.7, 90.2
"Louisa County, Virginia",51109,79.9 ,66.9, 91.2
"Marion County, Georgia",13197,79.9 ,63.1, 93.5
"McCreary County, Kentucky",21147,79.9 ,67.4, 91.1
"Nevada County, California",06057,79.9 ,66.9, 91.3
"Benton County, Indiana",18007,79.8 ,62.8, 93.4
"Burleson County, Texas",48051,79.8 ,65.5, 92.0
"Creek County, Oklahoma",40037,79.8 ,68.1, 90.0
"Haywood County, Tennessee",47075,79.8 ,66.2, 91.4
"Macon County, Tennessee",47111,79.8 ,65.7, 91.7
"Monmouth County, New Jersey",34025,79.8 ,69.1, 89.2
"Randolph County, North Carolina",37151,79.8 ,68.2, 89.9
"Rankin County, Mississippi",28121,79.8 ,68.3, 90.3
"Tazewell County, Illinois",17179,79.8 ,68.4, 90.1
"District of Columbia",11001,79.7 ,72.5, 86.5
"Jackson County, Tennessee",47087,79.7 ,65.6, 91.8
"Lamar County, Georgia",13171,79.7 ,66.8, 90.5
"Meagher County, Montana",30059,79.7 ,63.2, 93.1
"Scott County, Virginia",51169,79.7 ,65.6, 91.5
"Charles County, Maryland",24017,79.6 ,71.8, 86.8
"Iberia Parish, Louisiana",22045,79.6 ,67.6, 90.2
"Long County, Georgia",13183,79.6 ,65.1, 91.7
"Newport County, Rhode Island",44005,79.6 ,78.1, 81.1
"Simpson County, Mississippi",28127,79.6 ,65.2, 91.8
"Bossier Parish, Louisiana",22015,79.5 ,68.5, 89.3
"Deuel County, South Dakota",46039,79.5 ,64.9, 91.8
"Kenton County, Kentucky",21117,79.5 ,72.3, 86.2
"Monroe County, Pennsylvania",42089,79.5 ,67.2, 90.1
"Sumter County, Alabama",01119,79.5 ,63.0, 92.9
"Waushara County, Wisconsin",55137,79.5 ,65.5, 91.1
"Wayne County, Missouri",29223,79.5 ,62.8, 92.9
"Webster County, Kentucky",21233,79.5 ,65.5, 91.5
"Baker County, Florida",12003,79.4 ,66.7, 90.7
